"ETL_DV_TBL_ID"|"RQR_ETL_DV_TBL_ID"
182|181
183|20
183|59
185|222
185|31
185|184
186|222
186|185
187|197
187|184
187|220
188|187
189|184
189|197
190|189
191|184
191|8
192|191
193|184
194|193
195|184
196|197
198|222
198|197
198|8
198|31
199|198
199|222
200|201
201|8
201|197
202|201
203|8
203|197
204|203
205|197
205|31
205|222
206|205
206|222
207|197
208|28
210|209
212|211
213|32
213|79
214|86
214|34
215|220
215|181
216|215
217|8
218|220
218|8
218|221
219|218
219|221
221|220
222|59
222|86
222|79
222|76
222|70
222|91
222|31
223|37
223|91
408|407
409|197
409|220
409|407
410|409
181|180
